title,slug,"published date",url,symbol,sentiment,compound,positive,neutral,negative,open,high,low,close,volume,change
"NEPSE Slumps Below 2600 To Close at 2,595.96 Levels; NRN Sees Highest Turnover Among All Scrips",nepse-slumps-below-2600-to-close-at-259596-levels-nrn-sees-highest-turnover-among-all-scrips-2025-01-15,2025-01-15,https://www.sharesansar.com/newsdetail/nepse-slumps-below-2600-to-close-at-259596-levels-nrn-sees-highest-turnover-among-all-scrips-2025-01-15,NEPSE,Neutral,0.0,0.0,1.0,0.0,2596.83,2596.83,2596.83,2596.83,5824904134.7,0.07
"NEPSE to Remain Closed Today, Govt Declares Public Holiday on The Occasion of Maghe Sankranti",nepse-to-remain-closed-today-govt-declares-public-holiday-on-the-occasion-of-maghe-sankranti-2025-01-14,2025-01-14,https://www.sharesansar.com/newsdetail/nepse-to-remain-closed-today-govt-declares-public-holiday-on-the-occasion-of-maghe-sankranti-2025-01-14,NEPSE,Positive,0.4019,0.162,0.838,0.0,2610.05,2610.05,2610.05,2610.05,6650883103.54,-0.59
"NEPSE Index Records Three Consecutive Days of Decline; Intraday Turnover Stood at Rs 6.65 Arba",nepse-index-records-three-consecutive-days-of-decline-intraday-turnover-stood-at-rs-665-arba-2025-01-13,2025-01-13,https://www.sharesansar.com/newsdetail/nepse-index-records-three-consecutive-days-of-decline-intraday-turnover-stood-at-rs-665-arba-2025-01-13,NEPSE,Neutral,0.0,0.0,1.0,0.0,2610.05,2610.05,2610.05,2610.05,6650883103.54,-0.59
"NEPSE Index Plunges 25.41 Points; All Sectors Close in Red",nepse-index-plunges-2541-points-all-sectors-close-in-red-2025-01-12,2025-01-12,https://www.sharesansar.com/newsdetail/nepse-index-plunges-2541-points-all-sectors-close-in-red-2025-01-12,NEPSE,Neutral,0.0,0.0,1.0,0.0,2651.68,2651.68,2651.68,2651.68,3997909323.87,-0.96
"NEPSE Declines By 0.68% After 6 Days of Consecutive Gain; SMHL Tops Turnover List While Overall Volume Reached Rs. 7.3 Arba",nepse-declines-by-068-after-6-days-of-consecutive-gain-smhl-tops-turnover-list-while-overall-volume-reached-rs-73-arba-2025-01-09,2025-01-09,https://www.sharesansar.com/newsdetail/nepse-declines-by-068-after-6-days-of-consecutive-gain-smhl-tops-turnover-list-while-overall-volume-reached-rs-73-arba-2025-01-09,NEPSE,Positive,0.7964,0.323,0.677,0.0,2656.5,2656.5,2656.5,2656.5,7305342581.67,-0.68
"NEPSE 2024: A Deep Dive into the Highs, Lows, and Key Drivers",nepse-2024-a-deep-dive-into-the-highs-lows-and-key-drivers-2025-01-09,2025-01-09,https://www.sharesansar.com/newsdetail/nepse-2024-a-deep-dive-into-the-highs-lows-and-key-drivers-2025-01-09,NEPSE,Negative,-0.2023,0.0,0.847,0.153,2656.5,2656.5,2656.5,2656.5,7305342581.67,-0.68
"NEPSE Gains Subtly to Close at 2,653.38 Levels; NYADI Leads Turnover While Two Scrips Hit Positive Circuit",nepse-gains-subtly-to-close-at-265338-levels-nyadi-leads-turnover-while-two-scrips-hit-positive-circuit-2025-01-08,2025-01-08,https://www.sharesansar.com/newsdetail/nepse-gains-subtly-to-close-at-265338-levels-nyadi-leads-turnover-while-two-scrips-hit-positive-circuit-2025-01-08,NEPSE,Positive,0.7184,0.286,0.714,0.0,2670.51,2670.51,2670.51,2670.51,6407614174.11,0.24
"NEPSE Index Gains Minimal 0.23% to Close at 2,646.84 Levels; Three Scrips Hit Positive Circuit",nepse-index-gains-minimal-023-to-close-at-264684-levels-three-scrips-hit-positive-circuit-2025-01-07,2025-01-07,https://www.sharesansar.com/newsdetail/nepse-index-gains-minimal-023-to-close-at-264684-levels-three-scrips-hit-positive-circuit-2025-01-07,NEPSE,Positive,0.7184,0.316,0.684,0.0,2654.34,2654.34,2654.34,2654.34,5384672295.67,0.23
"NEPSE Index Surges By Significant 49.12 Points With Overall Volume of Rs. 6.30 Arba; All Sector Indices Close Green",nepse-index-surges-by-significant-4912-points-with-overall-volume-of-rs-630-arba-all-sector-indices-close-green-2025-01-06,2025-01-06,https://www.sharesansar.com/newsdetail/nepse-index-surges-by-significant-4912-points-with-overall-volume-of-rs-630-arba-all-sector-indices-close-green-2025-01-06,NEPSE,Positive,0.2023,0.091,0.909,0.0,2601.09,2601.09,2601.09,2601.09,6305431854.5,1.89
"NEPSE Surges By 5.32 Points with Rs. 4.86 Arba Turnover; Three Scrips Hit Positive Circuit",nepse-surges-by-532-points-with-rs-486-arba-turnover-three-scrips-hit-positive-circuit-2025-01-05,2025-01-05,https://www.sharesansar.com/newsdetail/nepse-surges-by-532-points-with-rs-486-arba-turnover-three-scrips-hit-positive-circuit-2025-01-05,NEPSE,Positive,0.5574,0.205,0.795,0.0,2586.08,2586.08,2586.08,2586.08,4860201974.98,0.2
"NEPSE Concludes Week With 1.69% Loss and Turnover of Rs 19.35 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",nepse-concludes-week-with-169-loss-and-turnover-of-rs-1935-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2025-01-03,2025-01-03,https://www.sharesansar.com/newsdetail/nepse-concludes-week-with-169-loss-and-turnover-of-rs-1935-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2025-01-03,NEPSE,Negative,-0.3182,0.0,0.897,0.103,2583.94,2583.94,2583.94,2583.94,4603282379.17,0.17
"NEPSE Edges Up to 2,586.23 with Rs. 4.6 Arba Turnover; PMLIP Tops Turnover Chart",nepse-edges-up-to-258623-with-rs-46-arba-turnover-pmlip-tops-turnover-chart-2025-01-02,2025-01-02,https://www.sharesansar.com/newsdetail/nepse-edges-up-to-258623-with-rs-46-arba-turnover-pmlip-tops-turnover-chart-2025-01-02,NEPSE,Positive,0.5106,0.202,0.798,0.0,2583.94,2583.94,2583.94,2583.94,4603282379.17,0.17
"NEPSE Risen by Minimal 0.19% Today While Turnover Declined To Rs. 3.59 Arba",nepse-risen-by-minimal-019-today-while-turnover-declined-to-rs-359-arba-2025-01-01,2025-01-01,https://www.sharesansar.com/newsdetail/nepse-risen-by-minimal-019-today-while-turnover-declined-to-rs-359-arba-2025-01-01,NEPSE,Neutral,0.0,0.0,1.0,0.0,2577.43,2577.43,2577.43,2577.43,3597445334.37,0.19
